Account_ID,Customer_ID,Branch_ID,Account_Type,Open_Date,Balance,Account_Status
ACC000001,CUST00001,BR008,Savings,2024-01-11,78571.44,Active
ACC000002,CUST00002,BR013,Savings,2024-01-30,323020.19,Inactive
ACC000003,CUST00003,BR025,Savings,2023-08-02,277118.46,Active
ACC000004,CUST00004,BR045,Savings,2017-09-16,12012.60,Active
ACC000005,CUST00005,BR011,Savings,2023-09-27,6541.51,Active
ACC000006,CUST00006,BR015,Fixed Deposit,2022-07-29,722121.14,Active
ACC000007,CUST00007,BR014,Savings,2023-03-13,8282.92,Dormant
ACC000008,CUST00008,BR035,Savings,2021-11-12,11245.15,Active
ACC000009,CUST00009,BR033,Current,2020-06-11,44544.27,Active
ACC000010,CUST00010,BR028,Current,2020-04-24,107071.89,Active
ACC000011,CUST00011,BR001,Savings,2023-12-18,55932.28,Inactive
ACC000012,CUST00012,BR008,Savings,2022-07-10,22288.03,Active
ACC000013,CUST00013,BR049,Salary,2022-03-21,339488.35,Dormant
ACC000014,CUST00014,BR013,Salary,2023-05-10,241668.42,Active
ACC000015,CUST00015,BR021,Savings,2022-06-29,587935.69,Active
ACC000016,CUST00016,BR037,Fixed Deposit,2022-09-16,847295.54,Active
ACC000017,CUST00017,BR043,Current,2023-08-15,145492.07,Inactive
ACC000018,CUST00018,BR049,Salary,2024-05-26,77186.89,Active
ACC000019,CUST00019,BR034,Savings,2018-05-14,11127.15,Dormant
ACC000020,CUST00020,BR038,Savings,2023-11-23,7596.49,Active
ACC000021,CUST00021,BR005,Savings,2023-05-25,20296.24,Inactive
ACC000022,CUST00022,BR037,Savings,2023-05-03,594543.41,Active
ACC000023,CUST00023,BR028,Savings,2024-02-14,18964.87,Active
ACC000024,CUST00024,BR007,Savings,2021-07-04,14957.46,Active
ACC000025,CUST00025,BR035,Salary,2023-07-23,282196.27,Active
ACC000026,CUST00026,BR007,Current,2023-06-15,423155.38,Active
ACC000027,CUST00027,BR027,Savings,2021-09-21,1108491.64,Active
ACC000028,CUST00028,BR017,Salary,2022-11-15,195507.19,Active
ACC000029,CUST00029,BR046,Savings,2022-02-07,1902800.81,Inactive
ACC000030,CUST00030,BR004,Fixed Deposit,2016-09-03,1888391.26,Active
ACC000031,CUST00031,BR033,Savings,2020-06-06,453545.13,Dormant
ACC000032,CUST00032,BR037,Fixed Deposit,2015-08-23,819633.43,Active
ACC000033,CUST00033,BR034,Savings,2024-02-24,69227.25,Active
ACC000034,CUST00034,BR009,Savings,2023-02-12,950940.24,Active
ACC000035,CUST00035,BR040,Savings,2016-04-16,53254.43,Dormant
ACC000036,CUST00036,BR005,Savings,2021-05-05,354761.45,Active
ACC000037,CUST00037,BR042,Savings,2021-07-05,848210.32,Dormant
ACC000038,CUST00038,BR008,Savings,2022-03-14,24653.79,Dormant
ACC000039,CUST00039,BR014,Current,2023-12-14,130389.58,Active
ACC000040,CUST00040,BR028,Savings,2018-09-28,23603.56,Dormant
ACC000041,CUST00041,BR048,Current,2020-10-09,145508.87,Active
ACC000042,CUST00042,BR035,Savings,2023-03-10,135416.87,Inactive
ACC000043,CUST00043,BR024,Salary,2019-06-30,212053.13,Dormant
ACC000044,CUST00044,BR007,Savings,2019-11-17,2033758.23,Inactive
ACC000045,CUST00045,BR012,Savings,2021-08-14,129479.60,Active
