Card_ID,Customer_ID,Card_Type,Issue_Date,Credit_Limit,Card_Status
CARD002189,CUST01679,Debit Card,2015-01-18,50000.00,Active
CARD002264,CUST03517,Credit Card,2015-01-20,250000.00,Active
CARD000233,CUST03267,Credit Card,2015-03-20,50000.00,Active
CARD002980,CUST01120,Debit Card,2015-03-22,25000.00,Expired
CARD000849,CUST00040,Credit Card,2015-05-01,1000000.00,Active
CARD005025,CUST04444,Credit Card,2015-05-20,150000.00,Active
CARD003294,CUST01602,Credit Card,2015-06-12,500000.00,Active
CARD004853,CUST00218,Debit Card,2015-06-15,100000.00,Blocked
CARD002066,CUST02488,Debit Card,2015-06-27,100000.00,Active
CARD001014,CUST03062,Debit Card,2015-07-08,200000.00,Active
CARD002899,CUST02582,Credit Card,2015-07-09,500000.00,Blocked
CARD003798,CUST02957,Credit Card,2015-07-12,500000.00,Active
CARD004230,CUST01362,Credit Card,2015-07-15,150000.00,Active
CARD002680,CUST02287,Credit Card,2015-07-17,1000000.00,Active
CARD004868,CUST01049,Debit Card,2015-08-01,200000.00,Blocked
CARD000378,CUST00043,Corporate Card,2015-08-21,1500000.00,Active
CARD003042,CUST00207,Credit Card,2015-08-28,1000000.00,Active
CARD004550,CUST04627,Corporate Card,2015-09-02,1500000.00,Inactive
CARD004376,CUST03200,Prepaid Card,2015-09-09,10000.00,Active
CARD001152,CUST04879,Prepaid Card,2015-09-25,25000.00,Active
CARD000912,CUST00061,Credit Card,2015-10-10,50000.00,Blocked
CARD004478,CUST01735,Credit Card,2015-10-14,500000.00,Active
CARD001554,CUST01965,Credit Card,2015-10-26,50000.00,Inactive
CARD001403,CUST02971,Credit Card,2015-11-03,150000.00,Active
CARD003283,CUST01654,Credit Card,2015-11-03,50000.00,Active
CARD002480,CUST00968,Debit Card,2015-11-09,200000.00,Expired
CARD003366,CUST04627,Debit Card,2015-11-09,100000.00,Active
CARD001544,CUST03364,Credit Card,2015-11-21,100000.00,Active
CARD004248,CUST03352,Debit Card,2015-11-21,100000.00,Active
CARD000434,CUST01362,Debit Card,2015-11-22,200000.00,Active
CARD000600,CUST03082,Credit Card,2015-11-26,500000.00,Active
CARD001919,CUST02289,Prepaid Card,2015-12-05,25000.00,Active
CARD004290,CUST02033,Debit Card,2015-12-11,200000.00,Active
CARD001455,CUST00086,Debit Card,2015-12-14,100000.00,Active
CARD003212,CUST00869,Credit Card,2015-12-28,50000.00,Active
CARD000800,CUST00210,Debit Card,2016-01-11,200000.00,Expired
CARD001909,CUST03201,Credit Card,2016-01-14,1000000.00,Active
CARD003584,CUST00190,Credit Card,2016-01-16,1000000.00,Active
CARD001528,CUST04945,Credit Card,2016-01-31,500000.00,Active
CARD001752,CUST01735,Credit Card,2016-02-03,100000.00,Active
CARD004545,CUST00619,Prepaid Card,2016-02-10,50000.00,Active
CARD000318,CUST03531,Prepaid Card,2016-02-14,50000.00,Blocked
CARD000138,CUST02488,Credit Card,2016-02-21,100000.00,Blocked
CARD002763,CUST03306,Credit Card,2016-02-22,150000.00,Active
CARD003228,CUST04506,Credit Card,2016-03-02,50000.00,Active
CARD002547,CUST03215,Credit Card,2016-03-12,50000.00,Active
CARD002962,CUST01037,Debit Card,2016-03-18,100000.00,Active
CARD003049,CUST02032,Credit Card,2016-04-18,100000.00,Expired
CARD002583,CUST02154,Debit Card,2016-04-22,50000.00,Active
CARD001837,CUST04829,Credit Card,2016-04-27,100000.00,Active
CARD002008,CUST04933,Prepaid Card,2016-04-27,25000.00,Active
CARD002887,CUST01088,Debit Card,2016-05-03,100000.00,Active
CARD004424,CUST02415,Debit Card,2016-05-16,200000.00,Active
CARD004790,CUST01983,Credit Card,2016-05-17,250000.00,Expired
CARD004593,CUST02443,Credit Card,2016-05-20,1000000.00,Active
CARD001754,CUST00608,Corporate Card,2016-05-27,500000.00,Active
CARD002116,CUST01352,Credit Card,2016-05-28,250000.00,Active
CARD004368,CUST00330,Credit Card,2016-05-29,150000.00,Active
CARD000116,CUST03640,Credit Card,2016-06-10,500000.00,Active
CARD002726,CUST01698,Credit Card,2016-06-10,250000.00,Active
CARD001569,CUST00896,Corporate Card,2016-06-19,200000.00,Active
CARD004971,CUST03101,Credit Card,2016-06-19,250000.00,Active
CARD002971,CUST00168,Credit Card,2016-06-20,250000.00,Active
CARD002724,CUST02366,Debit Card,2016-06-26,25000.00,Active
CARD002602,CUST01484,Debit Card,2016-06-28,100000.00,Active
CARD000890,CUST04829,Credit Card,2016-06-29,1000000.00,Active
CARD003431,CUST02572,Credit Card,2016-06-29,250000.00,Active
CARD000248,CUST04566,Credit Card,2016-07-01,50000.00,Active
CARD003357,CUST02405,Credit Card,2016-07-10,1000000.00,Active
CARD000483,CUST00834,Debit Card,2016-07-11,25000.00,Active
CARD004561,CUST00144,Credit Card,2016-07-12,100000.00,Blocked
CARD000982,CUST03062,Credit Card,2016-07-13,150000.00,Inactive
CARD004343,CUST00470,Debit Card,2016-07-13,200000.00,Active
CARD002068,CUST00056,Credit Card,2016-07-17,250000.00,Expired
CARD000236,CUST00198,Credit Card,2016-07-18,100000.00,Active
CARD002989,CUST04327,Debit Card,2016-07-19,25000.00,Active
CARD004682,CUST04809,Debit Card,2016-07-19,100000.00,Active
CARD003287,CUST00086,Credit Card,2016-07-20,100000.00,Active
CARD004796,CUST02275,Debit Card,2016-07-23,50000.00,Blocked
CARD004415,CUST04609,Debit Card,2016-07-24,100000.00,Expired
CARD000222,CUST00593,Debit Card,2016-07-28,25000.00,Active
CARD003134,CUST00395,Debit Card,2016-07-28,100000.00,Active
CARD002481,CUST02197,Corporate Card,2016-07-29,500000.00,Blocked
CARD001058,CUST02163,Debit Card,2016-08-02,100000.00,Blocked
CARD000768,CUST01719,Credit Card,2016-08-04,100000.00,Active
CARD000361,CUST02831,Credit Card,2016-08-06,50000.00,Expired
CARD001198,CUST01239,Debit Card,2016-08-06,200000.00,Active
CARD002927,CUST00288,Debit Card,2016-08-10,100000.00,Active
CARD004823,CUST04506,Credit Card,2016-08-12,50000.00,Active
CARD001582,CUST04528,Prepaid Card,2016-08-17,25000.00,Active
CARD001925,CUST00123,Credit Card,2016-08-19,250000.00,Active
CARD004547,CUST02553,Debit Card,2016-08-19,25000.00,Active
CARD004120,CUST04894,Prepaid Card,2016-08-24,25000.00,Active
CARD000157,CUST03163,Debit Card,2016-08-28,25000.00,Expired
CARD004052,CUST02325,Debit Card,2016-09-02,50000.00,Active
CARD000419,CUST01443,Debit Card,2016-09-10,25000.00,Active
CARD002566,CUST04780,Debit Card,2016-09-14,200000.00,Active
CARD003902,CUST03531,Prepaid Card,2016-09-14,50000.00,Active
CARD001751,CUST03268,Debit Card,2016-09-17,50000.00,Active
CARD000140,CUST00925,Credit Card,2016-09-19,1000000.00,Active
CARD000043,CUST02729,Credit Card,2016-09-20,150000.00,Active
CARD001274,CUST00009,Credit Card,2016-09-29,250000.00,Active
CARD001966,CUST00097,Credit Card,2016-10-01,500000.00,Active
CARD004293,CUST01582,Debit Card,2016-10-06,200000.00,Active
CARD002999,CUST04426,Credit Card,2016-10-09,250000.00,Active
CARD001780,CUST01382,Debit Card,2016-10-25,200000.00,Expired
CARD004206,CUST01864,Credit Card,2016-10-29,50000.00,Active
