Payment_ID,Loan_ID,Payment_Date,Payment_Amount,Payment_Status
PAY0025652,LOAN00960,2015-04-10,11315.73,Paid
PAY0006589,LOAN00265,2015-05-04,22167.54,Late
PAY0025653,LOAN00960,2015-05-13,11315.73,Paid
PAY0052377,LOAN01994,2015-05-20,69522.34,Paid
PAY0006590,LOAN00265,2015-06-09,21171.90,Paid
PAY0025654,LOAN00960,2015-06-10,11315.73,Paid
PAY0052378,LOAN01994,2015-06-23,69522.34,Paid
PAY0055126,LOAN02102,2015-07-05,19287.38,Late
PAY0006591,LOAN00265,2015-07-07,21171.90,Paid
PAY0025655,LOAN00960,2015-07-12,11315.73,Paid
PAY0052379,LOAN01994,2015-07-25,69522.34,Paid
PAY0006592,LOAN00265,2015-08-07,21171.90,Paid
PAY0055127,LOAN02102,2015-08-10,18386.06,Paid
PAY0025656,LOAN00960,2015-08-13,11315.73,Paid
PAY0009864,LOAN00384,2015-08-16,30949.41,Paid
PAY0052380,LOAN01994,2015-08-24,69522.34,Paid
PAY0015770,LOAN00589,2015-08-28,18692.13,Failed
PAY0006593,LOAN00265,2015-09-05,21171.90,Paid
PAY0033639,LOAN01279,2015-09-07,33084.95,Paid
PAY0055128,LOAN02102,2015-09-07,18386.06,Paid
PAY0025657,LOAN00960,2015-09-09,11586.84,Late
PAY0009865,LOAN00384,2015-09-17,30949.41,Paid
PAY0052381,LOAN01994,2015-09-23,69522.34,Paid
PAY0002351,LOAN00098,2015-09-25,75363.02,Paid
PAY0016065,LOAN00601,2015-09-26,33061.87,Late
PAY0033640,LOAN01279,2015-10-01,33084.95,Paid
PAY0006594,LOAN00265,2015-10-03,22145.09,Late
PAY0055129,LOAN02102,2015-10-10,18386.06,Paid
PAY0025658,LOAN00960,2015-10-13,11315.73,Paid
PAY0009866,LOAN00384,2015-10-18,30949.41,Paid
PAY0018176,LOAN00686,2015-10-19,68974.11,Paid
PAY0052382,LOAN01994,2015-10-23,69522.34,Paid
PAY0002352,LOAN00098,2015-10-24,75363.02,Paid
PAY0016066,LOAN00601,2015-11-01,31555.27,Paid
PAY0033641,LOAN01279,2015-11-03,33084.95,Paid
PAY0006595,LOAN00265,2015-11-04,21171.90,Paid
PAY0055130,LOAN02102,2015-11-04,18386.06,Paid
PAY0063368,LOAN02413,2015-11-05,73019.08,Paid
PAY0025659,LOAN00960,2015-11-15,11315.73,Paid
PAY0009867,LOAN00384,2015-11-18,30949.41,Paid
PAY0018177,LOAN00686,2015-11-19,71242.04,Late
PAY0052383,LOAN01994,2015-11-19,69522.34,Paid
PAY0055461,LOAN02116,2015-11-19,72585.82,Paid
PAY0002353,LOAN00098,2015-11-22,75363.02,Paid
PAY0016067,LOAN00601,2015-11-30,31555.27,Paid
PAY0063369,LOAN02413,2015-12-02,73019.08,Paid
PAY0006596,LOAN00265,2015-12-03,21171.90,Paid
PAY0033642,LOAN01279,2015-12-07,33084.95,Paid
PAY0055131,LOAN02102,2015-12-10,18386.06,Paid
PAY0018178,LOAN00686,2015-12-15,68974.11,Paid
PAY0025660,LOAN00960,2015-12-16,11315.73,Paid
PAY0009868,LOAN00384,2015-12-20,30949.41,Paid
PAY0052384,LOAN01994,2015-12-20,69522.34,Paid
PAY0055462,LOAN02116,2015-12-23,74061.77,Late
PAY0002354,LOAN00098,2015-12-24,75363.02,Paid
PAY0049236,LOAN01865,2016-01-01,18967.81,Paid
PAY0063370,LOAN02413,2016-01-01,73019.08,Paid
PAY0016068,LOAN00601,2016-01-02,32930.98,Late
PAY0033643,LOAN01279,2016-01-02,33084.95,Paid
PAY0006597,LOAN00265,2016-01-07,21171.90,Paid
PAY0012886,LOAN00491,2016-01-08,154016.57,Paid
PAY0055132,LOAN02102,2016-01-08,18386.06,Paid
PAY0034721,LOAN01312,2016-01-10,6630.76,Paid
PAY0014632,LOAN00551,2016-01-11,8203.74,Paid
PAY0025661,LOAN00960,2016-01-14,11315.73,Paid
PAY0009869,LOAN00384,2016-01-17,30949.41,Paid
PAY0055463,LOAN02116,2016-01-19,72585.82,Paid
PAY0018179,LOAN00686,2016-01-20,68974.11,Paid
PAY0052385,LOAN01994,2016-01-21,69522.34,Paid
PAY0002355,LOAN00098,2016-01-23,75363.02,Paid
PAY0016069,LOAN00601,2016-02-02,31555.27,Paid
PAY0063371,LOAN02413,2016-02-02,73019.08,Paid
PAY0049237,LOAN01865,2016-02-04,18967.81,Paid
PAY0055133,LOAN02102,2016-02-04,18386.06,Paid
PAY0006598,LOAN00265,2016-02-05,21171.90,Paid
PAY0059633,LOAN02280,2016-02-05,23155.81,Late
PAY0012887,LOAN00491,2016-02-06,161289.00,Late
PAY0033644,LOAN01279,2016-02-08,33084.95,Paid
PAY0066389,LOAN02529,2016-02-09,19261.14,Paid
PAY0025662,LOAN00960,2016-02-11,11315.73,Paid
PAY0034722,LOAN01312,2016-02-14,6630.76,Paid
PAY0007290,LOAN00285,2016-02-16,107200.38,Paid
