Loan_ID,Customer_ID,Branch_ID,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term,Loan_Status,Loan_Start_Date
LOAN00001,CUST00157,BR012,Home Loan,6362000.00,7.93,180,In Arrears,2023-06-12
LOAN00002,CUST04397,BR018,Business Loan,6905000.00,14.44,60,Active,2023-08-05
LOAN00003,CUST01923,BR028,Auto Loan,1970000.00,9.67,60,Defaulted,2023-06-06
LOAN00004,CUST03677,BR034,Home Loan,5665000.00,7.91,240,Active,2020-06-22
LOAN00005,CUST00870,BR019,Business Loan,4825000.00,12.71,84,Active,2023-11-27
LOAN00006,CUST00811,BR013,Personal Loan,584000.00,15.60,36,Closed,2021-03-31
LOAN00007,CUST00407,BR041,Gold Loan,621000.00,11.78,36,Active,2022-04-17
LOAN00008,CUST03814,BR001,Personal Loan,301000.00,16.12,48,Active,2021-01-31
LOAN00009,CUST02467,BR036,Personal Loan,1055000.00,12.75,36,Active,2023-05-20
LOAN00010,CUST02891,BR041,Auto Loan,1825000.00,8.62,84,Active,2021-06-10
LOAN00011,CUST01137,BR031,Auto Loan,2087000.00,10.45,60,Closed,2017-04-07
LOAN00012,CUST01651,BR019,Education Loan,2260000.00,9.67,60,In Arrears,2022-12-24
LOAN00013,CUST01221,BR012,Auto Loan,797000.00,8.75,36,Closed,2019-05-18
LOAN00014,CUST04567,BR034,Business Loan,5619000.00,10.35,60,Active,2023-05-25
LOAN00015,CUST02418,BR021,Education Loan,742000.00,10.29,60,Closed,2019-02-22
LOAN00016,CUST01947,BR004,Business Loan,4104000.00,10.35,60,Closed,2019-02-18
LOAN00017,CUST01041,BR016,Personal Loan,459000.00,15.20,24,Active,2022-08-22
LOAN00018,CUST01274,BR049,Personal Loan,156000.00,13.19,24,Active,2023-10-09
LOAN00019,CUST00173,BR002,Personal Loan,224000.00,12.34,36,Active,2022-01-01
LOAN00020,CUST01320,BR032,Home Loan,2297000.00,9.01,240,Active,2022-10-31
LOAN00021,CUST01645,BR027,Personal Loan,770000.00,11.25,24,Closed,2020-01-25
LOAN00022,CUST02628,BR044,Home Loan,2587000.00,9.05,240,Active,2022-04-01
LOAN00023,CUST01564,BR032,Gold Loan,127000.00,10.86,36,Closed,2019-11-16
LOAN00024,CUST00859,BR020,Personal Loan,401000.00,11.36,48,Active,2020-09-28
LOAN00025,CUST00138,BR050,Home Loan,4627000.00,8.57,120,Closed,2023-12-29
LOAN00026,CUST00204,BR027,Home Loan,5546000.00,8.75,240,Active,2023-03-05
LOAN00027,CUST02052,BR028,Personal Loan,355000.00,13.02,24,Closed,2022-05-24
LOAN00028,CUST00297,BR038,Education Loan,1503000.00,10.65,120,Defaulted,2019-10-23
LOAN00029,CUST04236,BR044,Auto Loan,703000.00,10.15,60,In Arrears,2021-06-19
LOAN00030,CUST04362,BR036,Business Loan,4312000.00,12.80,120,Defaulted,2019-09-07
LOAN00031,CUST04090,BR022,Home Loan,4677000.00,8.64,120,In Arrears,2023-09-24
LOAN00032,CUST03924,BR023,Home Loan,8025000.00,8.85,180,Active,2022-10-29
LOAN00033,CUST03679,BR030,Personal Loan,483000.00,12.41,24,Defaulted,2023-11-27
LOAN00034,CUST03760,BR006,Home Loan,8456000.00,7.60,180,Defaulted,2022-04-15
LOAN00035,CUST01370,BR020,Auto Loan,1613000.00,9.69,84,Active,2021-08-30
LOAN00036,CUST00566,BR022,Business Loan,4086000.00,13.56,84,Active,2023-11-14
LOAN00037,CUST02317,BR002,Personal Loan,439000.00,14.47,12,Closed,2021-12-08
LOAN00038,CUST04765,BR003,Education Loan,2381000.00,10.40,84,Closed,2022-01-20
LOAN00039,CUST03392,BR036,Home Loan,5748000.00,8.06,120,Active,2022-10-06
LOAN00040,CUST00033,BR034,Home Loan,2553000.00,8.72,120,Closed,2020-04-27
LOAN00041,CUST03205,BR013,Personal Loan,898000.00,11.26,12,Active,2023-07-05
LOAN00042,CUST02905,BR003,Gold Loan,167000.00,12.43,24,Closed,2021-02-25
LOAN00043,CUST01037,BR018,Personal Loan,1171000.00,13.01,24,Closed,2022-06-23
LOAN00044,CUST00630,BR029,Business Loan,6888000.00,13.01,120,Active,2023-01-06
LOAN00045,CUST03164,BR027,Personal Loan,637000.00,13.34,12,Active,2023-11-23
LOAN00046,CUST02264,BR038,Personal Loan,863000.00,12.89,36,Active,2022-10-13
LOAN00047,CUST02564,BR021,Home Loan,9282000.00,7.56,120,Active,2017-07-06
LOAN00048,CUST00336,BR045,Personal Loan,117000.00,14.06,24,Active,2023-10-24
LOAN00049,CUST04521,BR011,Auto Loan,1650000.00,9.83,36,Active,2023-10-03
LOAN00050,CUST03409,BR041,Home Loan,2334000.00,8.26,240,In Arrears,2023-11-12
LOAN00051,CUST01643,BR007,Education Loan,1868000.00,10.83,120,Active,2022-06-24
LOAN00052,CUST01922,BR008,Personal Loan,314000.00,13.39,36,Closed,2020-04-20
LOAN00053,CUST03021,BR023,Home Loan,4693000.00,8.04,240,Active,2023-01-08
LOAN00054,CUST03756,BR004,Auto Loan,846000.00,9.29,60,Active,2020-11-13
LOAN00055,CUST04321,BR038,Auto Loan,398000.00,9.73,36,Closed,2023-02-25
LOAN00056,CUST02453,BR023,Personal Loan,267000.00,15.70,60,Active,2023-11-23
LOAN00057,CUST03234,BR037,Auto Loan,1581000.00,11.37,48,Defaulted,2020-04-01
LOAN00058,CUST02799,BR048,Auto Loan,751000.00,9.29,48,Active,2023-06-26
LOAN00059,CUST02956,BR028,Personal Loan,1001000.00,15.93,12,Closed,2023-03-12
LOAN00060,CUST01231,BR042,Gold Loan,792000.00,11.89,12,Defaulted,2023-03-07
LOAN00061,CUST03915,BR032,Personal Loan,635000.00,13.17,60,In Arrears,2020-04-09
LOAN00062,CUST04416,BR025,Auto Loan,1679000.00,9.78,84,Active,2023-07-26
LOAN00063,CUST03643,BR008,Personal Loan,648000.00,12.47,12,Closed,2023-01-14
LOAN00064,CUST04370,BR002,Gold Loan,139000.00,12.11,36,Closed,2020-12-02
LOAN00065,CUST00268,BR048,Auto Loan,417000.00,8.61,36,Closed,2017-09-27
LOAN00066,CUST01749,BR016,Auto Loan,1384000.00,11.47,84,Active,2020-09-04
LOAN00067,CUST01012,BR028,Home Loan,6419000.00,8.42,240,Active,2020-09-12
LOAN00068,CUST03802,BR041,Auto Loan,2068000.00,10.34,60,Active,2022-12-29
LOAN00069,CUST00905,BR013,Home Loan,5652000.00,9.35,240,Active,2023-12-29
LOAN00070,CUST01797,BR027,Personal Loan,643000.00,12.89,24,Active,2023-10-22
LOAN00071,CUST03192,BR031,Business Loan,2942000.00,10.48,36,Active,2021-07-23
LOAN00072,CUST01358,BR019,Home Loan,8111000.00,9.43,120,Active,2020-07-05
LOAN00073,CUST02566,BR034,Home Loan,5365000.00,8.87,120,Active,2023-09-05
LOAN00074,CUST03481,BR037,Home Loan,8920000.00,9.48,240,Active,2018-12-28
LOAN00075,CUST02148,BR016,Home Loan,7352000.00,8.56,300,Active,2018-06-13
LOAN00076,CUST03451,BR005,Personal Loan,630000.00,13.86,24,Closed,2020-06-11
LOAN00077,CUST04901,BR008,Home Loan,7742000.00,9.19,240,Active,2022-09-11
LOAN00078,CUST04838,BR046,Personal Loan,948000.00,12.45,48,Active,2022-06-22
LOAN00079,CUST00210,BR024,Business Loan,5499000.00,14.04,84,Active,2019-06-16
