Transaction_ID,Account_ID,Transaction_Date,Transaction_Type,Amount,Channel,Transaction_Status
TXN0061154,ACC003671,2015-03-24,Withdrawal,174942.55,Branch,Success
TXN0086544,ACC002462,2015-04-08,Withdrawal,19692.88,Mobile Banking,Success
TXN0037737,ACC003636,2015-07-28,Deposit,237787.30,IMPS,Pending
TXN0001219,ACC003636,2015-09-02,Withdrawal,67.94,UPI,Success
TXN0080018,ACC004879,2015-09-05,Deposit,33890.00,Net Banking,Success
TXN0021183,ACC004959,2015-09-06,Deposit,663.87,UPI,Success
TXN0040041,ACC001134,2015-09-06,Withdrawal,1000.00,ATM,Success
TXN0058152,ACC003636,2015-09-10,Transfer,208.91,UPI,Success
TXN0050351,ACC004755,2015-09-23,Withdrawal,19111.64,Net Banking,Success
TXN0038062,ACC004879,2015-09-29,Deposit,6753.05,UPI,Success
TXN0082778,ACC006543,2015-10-14,Withdrawal,233.81,UPI,Success
TXN0100850,ACC003959,2015-10-18,Deposit,28820.36,POS / Debit Card,Success
TXN0055500,ACC000752,2015-11-04,Deposit,73473.70,IMPS,Success
TXN0093748,ACC004551,2015-11-24,Deposit,133844.36,NEFT,Success
TXN0029322,ACC004755,2015-12-02,Deposit,32087.14,Mobile Banking,Success
TXN0062392,ACC004879,2015-12-04,Withdrawal,8000.00,ATM,Success
TXN0082093,ACC000717,2015-12-06,Deposit,13265.31,Net Banking,Success
TXN0040967,ACC004014,2015-12-10,Withdrawal,1000.00,ATM,Success
TXN0020529,ACC000717,2015-12-15,Deposit,30334.30,Mobile Banking,Success
TXN0085795,ACC001352,2015-12-22,Deposit,323.22,UPI,Success
TXN0073149,ACC005542,2015-12-25,Deposit,3902.13,UPI,Success
TXN0013145,ACC004193,2015-12-31,Deposit,6494.78,Net Banking,Success
TXN0081038,ACC000717,2016-01-04,Transfer,32025.17,Net Banking,Success
TXN0073801,ACC000113,2016-01-06,Deposit,980.95,UPI,Success
TXN0091771,ACC002608,2016-01-09,Withdrawal,43577.56,UPI,Success
TXN0078141,ACC001134,2016-01-15,Withdrawal,8186.10,UPI,Success
TXN0054561,ACC002588,2016-01-18,Withdrawal,25948.32,Net Banking,Success
TXN0012069,ACC001205,2016-01-28,Transfer,22083.96,Net Banking,Success
TXN0102691,ACC000660,2016-02-06,Withdrawal,19924.48,Net Banking,Success
TXN0054212,ACC005444,2016-02-09,Withdrawal,374640.82,Branch,Success
TXN0102696,ACC000260,2016-02-13,Withdrawal,33484.23,Mobile Banking,Success
TXN0081202,ACC006543,2016-02-14,Withdrawal,7321.02,UPI,Success
TXN0044103,ACC002608,2016-03-01,Withdrawal,7838.57,Net Banking,Success
TXN0021475,ACC004879,2016-03-27,Deposit,2647.58,Net Banking,Success
TXN0000550,ACC002148,2016-04-05,Deposit,669.87,UPI,Success
TXN0039787,ACC001247,2016-04-05,Deposit,27427.63,Net Banking,Success
TXN0064994,ACC002297,2016-04-08,Withdrawal,403138.09,Branch,Success
TXN0102172,ACC000660,2016-04-11,Withdrawal,471.13,UPI,Failed
TXN0071400,ACC001205,2016-04-12,Withdrawal,10000.00,ATM,Success
TXN0103726,ACC001352,2016-04-13,Deposit,8590.50,UPI,Success
TXN0005521,ACC003959,2016-04-15,Transfer,26027.41,UPI,Success
TXN0038660,ACC001400,2016-04-21,Deposit,123586.83,NEFT,Success
TXN0017688,ACC005009,2016-04-23,Withdrawal,325959.85,Branch,Success
TXN0100181,ACC001247,2016-04-25,Withdrawal,8874.68,Net Banking,Success
TXN0044614,ACC001450,2016-04-26,Transfer,120693.65,IMPS,Success
TXN0040615,ACC003661,2016-04-28,Withdrawal,23715.70,Net Banking,Success
TXN0028377,ACC003661,2016-04-29,Withdrawal,21687.13,Net Banking,Success
TXN0087366,ACC003741,2016-04-29,Deposit,13035.57,Mobile Banking,Success
TXN0089674,ACC004602,2016-05-02,Withdrawal,913.68,UPI,Success
TXN0101138,ACC003959,2016-05-02,Withdrawal,127.62,UPI,Failed
TXN0020712,ACC000968,2016-05-06,Withdrawal,381303.74,Branch,Success
TXN0065300,ACC004270,2016-05-06,Deposit,150633.53,NEFT,Success
TXN0003853,ACC003368,2016-05-12,Transfer,1653.97,UPI,Success
TXN0051765,ACC001029,2016-05-14,Withdrawal,52800.28,NEFT,Success
TXN0078469,ACC001400,2016-05-18,Withdrawal,161447.59,NEFT,Success
TXN0025963,ACC003636,2016-05-23,Withdrawal,335.10,UPI,Success
TXN0050939,ACC002538,2016-05-24,Deposit,5642.62,UPI,Success
TXN0075442,ACC003368,2016-05-27,Withdrawal,390.67,UPI,Success
TXN0094578,ACC003741,2016-05-27,Withdrawal,10000.00,ATM,Success
TXN0062324,ACC006215,2016-06-02,Withdrawal,428250.54,Branch,Success
TXN0097292,ACC004755,2016-06-06,Deposit,1559.53,UPI,Success
TXN0023987,ACC003368,2016-06-07,Withdrawal,26725.46,Mobile Banking,Success
TXN0078563,ACC000752,2016-06-08,Withdrawal,935.17,UPI,Success
TXN0098937,ACC002148,2016-06-08,Deposit,19613.73,Mobile Banking,Success
TXN0066757,ACC005595,2016-06-10,Deposit,423.21,UPI,Success
TXN0060108,ACC004959,2016-06-17,Withdrawal,22046.98,Net Banking,Success
TXN0073984,ACC006258,2016-06-17,Withdrawal,131.93,UPI,Success
TXN0077912,ACC002608,2016-06-23,Deposit,808.95,UPI,Success
TXN0058757,ACC003906,2016-06-24,Withdrawal,22644.57,Net Banking,Success
TXN0037123,ACC001206,2016-06-25,Withdrawal,27388.47,Net Banking,Success
TXN0027285,ACC001205,2016-07-03,Withdrawal,442272.68,Branch,Success
TXN0021069,ACC002639,2016-07-06,Deposit,1723.69,UPI,Success
TXN0024440,ACC004193,2016-07-07,Withdrawal,100942.20,NEFT,Success
TXN0041502,ACC004351,2016-07-10,Withdrawal,117.35,UPI,Success
TXN0059177,ACC003741,2016-07-12,Withdrawal,265.87,UPI,Failed
TXN0084369,ACC001557,2016-07-12,Withdrawal,9969.75,UPI,Success
TXN0020087,ACC003168,2016-07-13,Withdrawal,3000.00,ATM,Success
TXN0034618,ACC003671,2016-07-14,Withdrawal,444996.69,Branch,Success
TXN0001713,ACC000264,2016-07-16,Deposit,27897.32,Mobile Banking,Success
TXN0031154,ACC001205,2016-07-16,Withdrawal,58123.48,IMPS,Success
TXN0012836,ACC000156,2016-07-19,Deposit,18802.78,Net Banking,Success
TXN0056889,ACC004959,2016-07-20,Withdrawal,337.05,UPI,Success
TXN0093095,ACC003168,2016-07-24,Withdrawal,549.42,UPI,Success
TXN0027145,ACC001062,2016-07-26,Withdrawal,3000.00,ATM,Success
TXN0003285,ACC004193,2016-08-02,Deposit,640.93,UPI,Success
TXN0094152,ACC001727,2016-08-04,Withdrawal,207384.02,Branch,Success
TXN0004361,ACC005444,2016-08-07,Withdrawal,14770.15,Mobile Banking,Success
TXN0022318,ACC000968,2016-08-10,Withdrawal,319.37,UPI,Success
TXN0103719,ACC005009,2016-08-10,Deposit,20428.28,Net Banking,Success
TXN0024673,ACC004689,2016-08-12,Withdrawal,500.00,ATM,Success
TXN0037125,ACC000660,2016-08-15,Deposit,7981.42,UPI,Success
TXN0037846,ACC001557,2016-08-15,Withdrawal,22128.99,Mobile Banking,Success
TXN0079644,ACC001393,2016-08-17,Withdrawal,466.38,UPI,Success
TXN0075870,ACC001557,2016-08-23,Withdrawal,96.51,UPI,Success
TXN0067670,ACC002909,2016-08-24,Withdrawal,33628.90,POS / Debit Card,Success
TXN0079246,ACC002639,2016-08-24,Withdrawal,3000.00,ATM,Success
TXN0012079,ACC001140,2016-09-01,Withdrawal,34764.00,Net Banking,Success
TXN0014067,ACC003368,2016-09-02,Withdrawal,20336.87,Mobile Banking,Success
TXN0090315,ACC006358,2016-09-02,Transfer,636.35,UPI,Success
TXN0011467,ACC005009,2016-09-07,Withdrawal,100725.61,IMPS,Success
TXN0068865,ACC005545,2016-09-07,Withdrawal,18260.26,Mobile Banking,Success
TXN0034980,ACC000113,2016-09-08,Withdrawal,3000.00,ATM,Success
TXN0041375,ACC004100,2016-09-11,Withdrawal,17194.68,Mobile Banking,Success
TXN0046595,ACC003959,2016-09-11,Deposit,29968.66,Mobile Banking,Success
TXN0026900,ACC002462,2016-09-14,Withdrawal,3000.00,ATM,Success
TXN0088881,ACC002297,2016-09-14,Deposit,442.98,UPI,Success
TXN0009354,ACC000660,2016-09-15,Transfer,94382.50,IMPS,Success
TXN0015486,ACC003741,2016-09-15,Transfer,3153.35,UPI,Success
TXN0066228,ACC000470,2016-09-18,Withdrawal,2104.40,Mobile Banking,Success
TXN0069840,ACC003664,2016-09-18,Withdrawal,41224.95,NEFT,Success
TXN0015313,ACC002909,2016-09-24,Withdrawal,500.00,ATM,Success
TXN0050630,ACC002448,2016-09-26,Withdrawal,697.53,UPI,Success
TXN0053219,ACC003311,2016-09-26,Withdrawal,1000.00,ATM,Success
TXN0028700,ACC000260,2016-09-30,Withdrawal,3000.00,ATM,Success
TXN0029906,ACC002750,2016-09-30,Deposit,176.04,UPI,Success
TXN0031975,ACC003671,2016-10-06,Withdrawal,5000.00,ATM,Success
TXN0036936,ACC002639,2016-10-06,Transfer,71391.80,NEFT,Success
TXN0053745,ACC004959,2016-10-06,Withdrawal,18742.77,POS / Debit Card,Success
TXN0009445,ACC000264,2016-10-08,Deposit,30114.23,Mobile Banking,Success
TXN0036087,ACC004096,2016-10-11,Withdrawal,1896.27,UPI,Success
TXN0036940,ACC005970,2016-10-13,Withdrawal,1628.12,UPI,Success
TXN0091460,ACC000153,2016-10-13,Withdrawal,28956.49,Mobile Banking,Success
TXN0049005,ACC002588,2016-10-14,Withdrawal,22535.16,Net Banking,Success
TXN0069803,ACC000156,2016-10-14,Deposit,208026.71,IMPS,Success
TXN0009637,ACC002538,2016-10-16,Withdrawal,1690.73,Net Banking,Success
TXN0026502,ACC004602,2016-10-19,Withdrawal,8000.00,ATM,Success
TXN0074390,ACC005542,2016-10-19,Withdrawal,219.15,UPI,Success
TXN0022484,ACC002674,2016-10-20,Transfer,30415.63,Net Banking,Failed
TXN0092247,ACC005180,2016-10-21,Transfer,907.24,UPI,Failed
TXN0017210,ACC005444,2016-10-23,Transfer,6260.73,UPI,Success
TXN0018442,ACC006005,2016-10-23,Withdrawal,3000.00,ATM,Success
TXN0026459,ACC005180,2016-10-23,Deposit,2554.91,Net Banking,Success
TXN0081841,ACC003959,2016-10-23,Withdrawal,20987.07,Net Banking,Success
TXN0057809,ACC003661,2016-10-24,Deposit,34250.99,Mobile Banking,Success
TXN0103873,ACC006358,2016-10-25,Withdrawal,4500.00,ATM,Success
TXN0057864,ACC004158,2016-10-27,Withdrawal,1831.63,Net Banking,Success
TXN0061220,ACC005180,2016-10-28,Withdrawal,9953.87,UPI,Success
TXN0074342,ACC002639,2016-10-28,Withdrawal,189609.17,IMPS,Failed
TXN0011870,ACC004551,2016-10-29,Withdrawal,8000.00,ATM,Success
TXN0033327,ACC002538,2016-10-30,Deposit,32345.55,Net Banking,Success
TXN0004767,ACC005953,2016-11-02,Withdrawal,149950.59,IMPS,Success
TXN0014417,ACC005009,2016-11-03,Deposit,9545.55,UPI,Success
TXN0037032,ACC001830,2016-11-04,Withdrawal,48677.45,UPI,Success
TXN0039532,ACC001134,2016-11-07,Withdrawal,10000.00,ATM,Success
TXN0042834,ACC002538,2016-11-11,Withdrawal,4500.00,ATM,Success
TXN0048211,ACC002608,2016-11-14,Withdrawal,500.00,ATM,Success
TXN0045903,ACC000717,2016-11-15,Withdrawal,4500.00,ATM,Success
TXN0072284,ACC001830,2016-11-15,Deposit,12253.94,Net Banking,Success
TXN0037099,ACC003906,2016-11-18,Deposit,9159.49,Mobile Banking,Success
TXN0053887,ACC003746,2016-11-18,Withdrawal,676.62,UPI,Success
TXN0093696,ACC001140,2016-11-20,Withdrawal,25433.27,Net Banking,Success
TXN0095846,ACC006358,2016-11-22,Deposit,39960.22,UPI,Success
TXN0038183,ACC003906,2016-11-24,Withdrawal,154483.44,NEFT,Success
TXN0083107,ACC006215,2016-11-25,Withdrawal,10000.00,ATM,Success
TXN0016066,ACC001749,2016-11-27,Withdrawal,33386.96,Mobile Banking,Success
TXN0048017,ACC002032,2016-11-27,Withdrawal,183765.02,IMPS,Success
TXN0084833,ACC001062,2016-11-27,Withdrawal,1043.81,Mobile Banking,Success
TXN0071204,ACC006027,2016-11-28,Deposit,10827.67,Mobile Banking,Success
TXN0036565,ACC003759,2016-11-29,Withdrawal,4500.00,ATM,Success
TXN0086564,ACC004351,2016-11-29,Deposit,4291.81,UPI,Failed
TXN0004885,ACC001557,2016-12-04,Withdrawal,16894.30,POS / Debit Card,Success
TXN0100633,ACC006257,2016-12-04,Withdrawal,23471.76,Net Banking,Success
TXN0024495,ACC005970,2016-12-05,Deposit,30147.64,Net Banking,Success
TXN0066868,ACC004333,2016-12-05,Deposit,830.19,UPI,Success
